Top Free Games,,,,,,
,,,,,,
S.No,Game Name ,Category  ,Rating,Description,Source,Reviews
,,,,,,
1," 
My Talking Tom 2",Casual,4,"Everyday fun: Players can feed Tom when he’s hungry, wash him when he’s dirty, put him to bed when he’s tired, and take him to the toilet when he’s… really got to go! They can watch him grow into a big happy cat!

New mini games: There are brand new mini games to play, including puzzle games, action games, and Tom’s first-ever multiplayer mini game!
",https://play.google.com/store/apps/details?id=com.outfit7.mytalkingtom2,"G1)This game is out standing I love it but some people said that this game is very bad they are also bad . Outfit 7 I love your games thanks for entertaining us . Good job keep it up .(G2)I like my talking Tom 2 it has a lot of adventurous stuff and boy is Tom funny. this is a lot of fun I highly recommend it.(S1)I gave it 5 star because it is an excellent game. But can you add some new functions in talking tom 2 like more new games in it. And tom going to different places out of his home for picnic . Overall it's the best app(S2)I loved this app!! just that tom get tired fast and i kinda want a new animation when you go on the airplane and you can see hank in Hawaii and angela in the castle and becca in future and ginger in candy land. So new things??(B1)Ads, ads and yes lots of ads just to play. Nonsense(B2)Close the bathroom door, cats hate water, the mixer broke down too many times,thangs brake down to easily, the cat sleeps way to much make tom land on it's feet."
2,Yalla Ludo - Ludo&Domino,Board,4,"Yalla Ludo, an app with voice chat, allows you to play Ludo or Domino with your friends online.
Real-time voice chat
Talk with players via voice chat at any time, meet new friends and enjoy the game!
Various game modes
Ludo includes two modes: 1 ON 1 mode, 4-Player mode. Each mode has four gameplays: Classic, Master, Quick and Magic.
Domino: Drew Game and All Five.
Play with friends easily
Private rooms and local rooms enable you to play with buddies either online or offline. Come and have fun in games together?",https://play.google.com/store/apps/details?id=com.yalla.yallagames,"(S1)Yalla ludo is great platform than others. It's getting amazing day by day. Recently Updates of Night Ludo is outstanding theme. It's a good thing if something is added to it. I suggest you that the Create option and private option also add them in Night Ludo. Then i will give you 5 star ?(S2)Not bad while playing game... The only reason am giving 3 stars because the room chat experience is not good.. While talking on mic there is so much noise and every time the voice lags alot.. Like its a network issue but in actual its not a network issue the voice debugging is not good. Work on that...(B1)This is frud game. Someone control the game and he decide who will won the game because if for example you Just need only 1 to win the game the dice Will not give you untill the opponent win the game.. and I don't understand why this app have signals problem Everytime even my internet signals is full but the game is reconnecting every second.. worse app . Please I suggest don't use this app. This app is full cheats.. its better to download master ludo. Thanks(B2)There was a very bad experience of playing ludo. Your load is one-way game. If you have to improve the quality of ludo, it has to be neutral. Improve ludo quality. Numbers do not appear neutral in their ludo. The ludo system gives the dice number by looking at the favorite player Thank you."
3,Subway Surfers,Arcade,4,"DASH as fast as you can!
DODGE the oncoming trains!
Help Jake, Tricky & Fresh escape from the grumpy Inspector and his dog.
? Grind trains with your cool crew!
? Colorful and vivid HD graphics!
? Hoverboard Surfing!
? Paint powered jetpack!
? Lightning fast swipe acrobatics!
? Challenge and help your friends!
Join the most daring chase!
A Universal App with HD optimized graphics.",https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf,"G1)I really like this game a lot it will teach you startagies. In my opinion and its also really fun I recommend it to all children and also adults. If your in to stuff like that. Don't think of it as a kids game think if it as something fun. And that is my review. Hope you enjoy it as much as I do(G2)I really like this game. I love the idea of someone spray painting and then running away from the police. I WOULD rate it 4 And a half star but you can't do halves so I will stick with 4 stars. I just love it. At first I was like; ""oh this is so hard!"" But now I am like; "" this is easy and fun!"" I love this game, I would recommend this game for all ages!(S1)The under roll time is way too short. I die almost every time with it. Make it a bit longer to improve the game. Other than that this game is amazing.(S2)Can you please add a obstacles like a door that open and close it the player get hit he will open the door and make the guard closer because it is a rare to get hit by the guard I am giving this a 3 for the same things you do in seasons(B1)I just updated this game so that I can play at Las Vegas but I suddenly lost all of my purchases and my high score! I didn't even uninstall the game I jusf updated it and it is so frustrating because I spent a lot of time, coins, and keys just to get the limited edition charcters, boards, and the characters from other tours that you can buy usibg keys(B2)I liked this game... Now it sucks. My game FROZE when trying to get an ad to continue running after I spent keys and beat my highscore. A rip off. I lost all of the keys spent but didn't get my highscore. It disgusts me how you make a game and then don't fix bugs. Piece of paska... Fix your bugs for a better review."
4,Water Color Sort,Puzzle,4," Water Sort is a simple, fun and addictive sort puzzle game.
?? Your next task is to sort the colored water in the cup until all the colors in the glass are the same. The game is easy to get used to, but it is difficult to become an expert and there are 1000 puzzles to challenge you.
?? A challenging yet relaxing game to train your brain!",https://play.google.com/store/apps/details?id=com.vnstartllc.sort.water,"G1)Can't have it any other way. Just love the game. Some level can just keep you off your feet and imply you think to solve took me. Very very addictive, have being play since I downloaded (2days now level 80). Thumbs up for me!??????(G2)The game is just perfect ??? When you're able to get through a difficult level, I feel like you're rewarded with a less difficult level. And this reward discourages you from giving up on the game. It ain't impossible to continue playing. I've reached level 200 in about 72 hours. Whooooooooooooooosh ...(S1)The game is awesome I'm in level 712, but if you would please make the animation a little bit faster as it's boring to wait for every color to pour while you already have the next move. Just speed up the animation. Thanks!(S2)Its a very nice game but if there will be a option to have a hint by watching ad then it will be better otherwise it is a very interesting game and I don't want to give less Stars to a nice game because of a hint(B1)This is the worst game I've ever played. At first it was fun and I realized it doesn't even have level .I mean the level are changing but the is no difference guy I just wasted my data to download this stupid game sorry for being so mean but it is the worst game(B2)163 level is not playable. Totally not playable this stage, no hints. If you want to go next level only option is to buy hints otherwise not. For this one star."
5,8 Ball Pool,Sports,4,"Play with friends! Play with Legends. Play the hit Miniclip 8 Ball Pool game on your mobile and become the best!
COMPETE 1-ON-1 OR IN 8 PLAYER TOURNAMENTS
Refine your skills in the practice arena, take on the world in 1-vs-1 matches, or enter tournaments to win trophies and exclusive cues!
PLAY FOR POOL COINS AND EXCLUSIVE ITEMS
Customize your cue and table! In every competitive 1-vs-1 match you play, there’ll be Pool Coins at stake – win the match and the Coins are yours. You can use these to enter higher ranked matches with bigger stakes, or to buy new items in the Pool Shop.",https://play.google.com/store/apps/details?id=com.miniclip.eightballpool,"1)Game is now UNPLAYABLE!! I Just won a game..... Then it said the connection is slow, then it literally went back in time & put the black ball back on the table!.... Then it said I'd missed my turn & my opponent won..... This is since the update!! Please fix this problem!!(2)great game at first, but if you don't buy anything pretty soon you you don't get break as often, if your going to win and it does not want you to all the sudden there's a slow connection or its waiting for your opponent to respond when it's your turn to shoot. I've had it freeze up where everything works except your pool stick and it stays like that until you leave the game, when you do you lose. on my phone to shutdown an app you have to hit two different symbols but with this it only takes one"
6,PUBG MOBILE 1.5: IGNITION,Action,4,"The official PLAYERUNKNOWN'S BATTLEGROUNDS designed exclusively for mobile. Play free anywhere, anytime. PUBG MOBILE delivers the most intense free-to-play multiplayer action on mobile. Drop in, gear up, and compete. Survive epic 100-player classic battles, payload mode and fast-paced 4v4 team deathmatch and zombie modes. Survival is key and the last one standing wins. When duty calls, fire at will!",https://play.google.com/store/apps/details?id=com.tencent.ig,"(S1)I love this game. I just think there should be like a 15 second grace period so after you land you can't be killed immediately. How can I defend myself? Or everyone can start off with a pan idk. It just seems pointless to lose 34+ rank points when I can't even battle.(S2)Everything is good in this game. Only there is 1 problem. Dresses are so costly and if we buy with BP random dresses come out that even are not for character. There should be an option to share dresses with friends so that males can share girlish dresses with girls and girls can share men dresses with boys.(B1)Terrible. Connection is VERY unstable even on data. The match starts at like 20ping and just when someone shows up it goes up to 677ping and just gets stuck there. At that point the game just freezes and you're the only thing moving until you realize you were sniped like 10mins ago because you were disconnected. Terrible experience. I'd rate it less than a star if I could(B2)I'm still retaining my rating to reply to the developer response. Nothing wrong with my internet connection. Is that this game is getting more and more heavy to load on my mid range phone. Every next update makes it even worse. So I was kind of like giving it up. Consider pushing up your minimum requirements to make it up above on the higher end phones only, so that I can't install this game."
7,Carrom Pool: Board Game,Board,4,"Carrom is an easy-to-play multiplayer board game. Pot all your pieces before your opponent. Can you become the best at this Carrom Board game ?
With simple gameplay, smooth controls and great physics, travel around the world and play against worthy opponents. Are you up for the challenge?
Customise your pieces with a huge variety of unlock-able items! Show off your style to players from all over the world!",https://play.google.com/store/apps/details?id=com.miniclip.carrom,G1)The carrom pool has been super game play with friends and others is the prefectly game play is always good game is carrom pool is better than all carrom games the creation VFX perfectly is so much better than all carrom games is not longer to one match short and perfectly and short time to game play and I'm playing always carrom pool you???(G2)Very addictive. I installed it long back and in multiple devices. Nice game I would say. One of the best games of this kind to play in your leisure hours.(S1)this is awesome game. but we can not challenge up to 10000.please update this and we get new striker and new pucks or power. or 2vs 2 player game.and we need voice chat in carrom pool . please update this condition and then the is best in the world(S2)Very good game optional game and new servers in every option but needs some improvement 1.It should have a tournament like option in which 4players can play 2.It should have more chest slots and i would like to say thanks to miniclip for making this game(B1)It's really disappointment game play.. Whenever showing slow connection then opponents get a chance automatically and also win instead my chances still pending after potting my pucks.. It's not happened before.. ??(B2)This game is not good due to full of add and network problems.moreover it's hacked by opponent player so that can't defeat.so never install the app and give zero star.If it's improved by developer then I will give 5 star.
8,Bubble Shooter,Casual,4,"Play the classic and most addictive bubble pop game for FREE, match 3 colors and clear levels. Don’t miss out on this fun relaxing game! In this good old version, you need to aim & shoot, to drop & burst all bubbles. Train your brain with this original puzzle as you blast balls online or offline",https://play.google.com/store/apps/details?id=bubbleshooter.orig,"G1)This game is best in songs the world and I want more levels so pls bring p some more levels ..... I have solve 5650 levels till now & its saying ""coming soon""....(G2)Very exiting & challenging. New games are a bit hard & boom & fireballs quantity are squishes. In the last part i was shocking. All the balls fall upon shooting point. I can't shoot them & i became embarrassed. At last i over come the barrier.(S1)The game is nice but the ads and the pictures the colors. But it is so good for brain ?? . But please try to make it colorful. Thank you I hope you understand ????(B1)Im very disappointed... that some of theses levels are impossible if u dont use cheats. I hope in your next update that when you drop balls that weren't hit you get them to play with(B2)You do not give the color of balls we need..like I will need a color red ball and all I get is anything, but that color....it is addicting and I am too thinking about not playing for a while.....it has lately not letting me get more ball, when it has ones for us to use"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
